date,count,total_count,ratio
2014-02-01,0,557,0
2014-02-02,0,430,0
2014-02-03,0,823,0
2014-02-04,0,918,0
2014-02-05,0,1113,0
2014-02-06,0,1058,0
2014-02-07,0,1138,0
2014-02-08,0,836,0
2014-02-09,0,651,0
2014-02-10,0,977,0
2014-02-11,0,647,0
2014-02-12,0,836,0
2014-02-13,0,998,0
2014-02-14,0,1211,0
2014-02-15,0,734,0
2014-02-16,0,658,0
2014-02-17,0,1149,0
2014-02-18,0,1164,0
2014-02-19,0,1178,0
2014-02-20,0,1208,0
2014-02-21,0,1131,0
2014-02-22,0,691,0
2014-02-23,0,391,0
2014-02-24,0,1188,0
2014-02-25,0,1111,0
2014-02-26,0,1229,0
2014-02-27,0,1255,0
2014-02-28,0,1179,0
2014-03-01,0,659,0
2014-03-02,0,730,0
2014-03-03,0,1127,0
2014-03-04,0,1237,0
2014-03-05,0,1139,0
2014-03-06,0,1172,0
2014-03-07,0,1202,0
2014-03-08,0,803,0
2014-03-09,0,727,0
2014-03-10,0,1049,0
2014-03-11,0,1095,0
2014-03-12,0,1185,0
2014-03-13,0,1144,0
2014-03-14,0,661,0
2014-03-15,0,465,0
2014-03-16,0,695,0
2014-03-17,0,1263,0
2014-03-18,0,1158,0
2014-03-19,0,1116,0
2014-03-20,0,1026,0
2014-03-21,0,915,0
2014-03-22,0,563,0
2014-03-23,0,759,0
2014-03-24,0,1107,0
2014-03-25,0,1186,0
2014-03-26,0,1143,0
2014-03-27,0,1031,0
2014-03-28,0,1110,0
2014-03-29,0,721,0
2014-03-30,0,691,0
2014-03-31,0,1091,0
2014-04-01,0,1086,0
2014-04-02,0,1231,0
2014-04-03,0,1109,0
2014-04-04,0,1211,0
2014-04-05,0,841,0
2014-04-06,0,548,0
2014-04-07,0,1015,0
2014-04-08,0,1335,0
2014-04-09,0,1265,0
2014-04-10,0,1558,0
2014-04-11,0,1793,0
2014-04-12,0,1530,0
2014-04-13,0,1455,0
2014-04-14,0,1886,0
2014-04-15,0,1692,0
2014-04-16,0,1635,0
2014-04-17,0,1598,0
2014-04-18,0,1087,0
2014-04-19,0,949,0
2014-04-20,0,917,0
2014-04-21,0,1122,0
2014-04-22,0,1559,0
2014-04-23,0,1676,0
2014-04-24,0,1626,0
2014-04-25,0,1405,0
2014-04-26,0,980,0
2014-04-27,0,841,0
2014-04-28,0,1505,0
2014-04-29,0,1497,0
2014-04-30,0,1660,0
2014-05-01,0,1301,0
2014-05-02,0,1333,0
2014-05-03,0,929,0
2014-05-04,0,798,0
2014-05-05,0,1366,0
2014-05-06,0,1445,0
2014-05-07,0,1400,0
2014-05-08,0,1503,0
2014-05-09,0,1558,0
2014-05-10,0,825,0
2014-05-11,0,744,0
2014-05-12,0,853,0
2014-05-13,0,1652,0
2014-05-14,0,1501,0
2014-05-15,0,1536,0
2014-05-16,0,1408,0
2014-05-17,0,828,0
2014-05-18,0,888,0
2014-05-19,0,1469,0
2014-05-20,0,1362,0
2014-05-21,0,1534,0
2014-05-22,0,1416,0
2014-05-23,0,1436,0
2014-05-24,0,897,0
2014-05-25,0,723,0
2014-05-26,0,1360,0
2014-05-27,0,1527,0
2014-05-28,0,1391,0
2014-05-29,0,1431,0
2014-05-30,0,1321,0
2014-05-31,0,820,0
2014-06-01,0,893,0
2014-06-02,0,1433,0
2014-06-03,0,1016,0
2014-06-04,0,1184,0
2014-06-05,0,1409,0
2014-06-06,0,1353,0
2014-06-07,0,869,0
2014-06-08,0,801,0
2014-06-09,0,1236,0
2014-06-10,0,1481,0
2014-06-11,0,1443,0
2014-06-12,0,1596,0
2014-06-13,0,1421,0
2014-06-14,0,893,0
2014-06-15,0,922,0
2014-06-16,0,1495,0
2014-06-17,0,1492,0
2014-06-18,0,1496,0
2014-06-19,0,1573,0
2014-06-20,0,1549,0
2014-06-21,0,956,0
2014-06-22,0,788,0
2014-06-23,0,1537,0
2014-06-24,0,1528,0
2014-06-25,0,1499,0
2014-06-26,0,1438,0
2014-06-27,0,1567,0
2014-06-28,0,968,0
2014-06-29,0,763,0
2014-06-30,0,1285,0
2014-07-01,0,1284,0
2014-07-02,0,1572,0
2014-07-03,0,1520,0
2014-07-04,0,1466,0
2014-07-05,0,896,0
2014-07-06,0,832,0
2014-07-07,0,1446,0
2014-07-08,0,1455,0
2014-07-09,0,1443,0
2014-07-10,0,1611,0
2014-07-11,0,1395,0
2014-07-12,0,850,0
2014-07-13,0,756,0
2014-07-14,0,1214,0
2014-07-15,0,1320,0
2014-07-16,0,1443,0
2014-07-17,0,1612,0
2014-07-18,0,1469,0
2014-07-19,0,1054,0
2014-07-20,0,902,0
2014-07-21,0,1429,0
2014-07-22,0,1539,0
2014-07-23,0,1579,0
2014-07-24,0,1596,0
2014-07-25,0,1537,0
2014-07-26,0,1170,0
2014-07-27,0,1145,0
2014-07-28,0,1597,0
2014-07-29,0,1632,0
2014-07-30,0,1192,0
2014-07-31,0,1730,0
2014-08-01,0,1712,0
2014-08-02,0,1140,0
2014-08-03,0,1145,0
2014-08-04,0,1483,0
2014-08-05,0,1443,0
2014-08-06,0,1306,0
2014-08-07,0,1441,0
2014-08-08,0,1508,0
2014-08-09,0,943,0
2014-08-10,0,816,0
2014-08-11,0,1281,0
2014-08-12,3,1469,0.0020422055820285907
2014-08-13,0,1397,0
2014-08-14,0,1549,0
2014-08-15,0,1529,0
2014-08-16,0,996,0
2014-08-17,0,942,0
2014-08-18,0,1429,0
2014-08-19,0,1478,0
2014-08-20,0,1542,0
2014-08-21,0,1552,0
2014-08-22,0,1468,0
2014-08-23,0,923,0
2014-08-24,0,897,0
2014-08-25,0,1281,0
2014-08-26,0,1356,0
2014-08-27,0,1357,0
2014-08-28,0,1497,0
2014-08-29,0,1440,0
2014-08-30,0,924,0
2014-08-31,0,917,0
2014-09-01,0,1302,0
2014-09-02,0,1466,0
2014-09-03,0,1424,0
2014-09-04,0,1414,0
2014-09-05,0,1485,0
2014-09-06,0,955,0
2014-09-07,0,929,0
2014-09-08,0,1314,0
2014-09-09,0,1340,0
2014-09-10,0,1444,0
2014-09-11,0,1454,0
2014-09-12,0,1308,0
