source,count,ratio
abc.net.au,9,0.09473684210526316
theconversation.com,8,0.08421052631578947
brisbanetimes.com.au,5,0.05263157894736842
perthnow.com.au,5,0.05263157894736842
smh.com.au,5,0.05263157894736842
theage.com.au,5,0.05263157894736842
businessinsider.com.au,4,0.042105263157894736
cairnspost.com.au,4,0.042105263157894736
thewest.com.au,4,0.042105263157894736
townsvillebulletin.com.au,4,0.042105263157894736
9news.com.au,3,0.031578947368421054
geelongadvertiser.com.au,3,0.031578947368421054
news.com.au,3,0.031578947368421054
sbs.com.au,3,0.031578947368421054
echo.net.au,2,0.021052631578947368
thenewdaily.com.au,2,0.021052631578947368
watoday.com.au,2,0.021052631578947368
batemansbaypost.com.au,1,0.010526315789473684
beaudeserttimes.com.au,1,0.010526315789473684
camdencourier.com.au,1,0.010526315789473684
communitynews.com.au,1,0.010526315789473684
dailymercury.com.au,1,0.010526315789473684
farmonline.com.au,1,0.010526315789473684
gloucesteradvocate.com.au,1,0.010526315789473684
illawarramercury.com.au,1,0.010526315789473684
jimboombatimes.com.au,1,0.010526315789473684
kiamaindependent.com.au,1,0.010526315789473684
manningrivertimes.com.au,1,0.010526315789473684
naroomanewsonline.com.au,1,0.010526315789473684
northqueenslandregister.com.au,1,0.010526315789473684
portnews.com.au,1,0.010526315789473684
riverineherald.com.au,1,0.010526315789473684
seymourtelegraph.com.au,1,0.010526315789473684
singletonargus.com.au,1,0.010526315789473684
southcoastregister.com.au,1,0.010526315789473684
stockandland.com.au,1,0.010526315789473684
theland.com.au,1,0.010526315789473684
ulladullatimes.com.au,1,0.010526315789473684
wauchopegazette.com.au,1,0.010526315789473684
whitsundaytimes.com.au,1,0.010526315789473684
winghamchronicle.com.au,1,0.010526315789473684
